timestamp,position_lat,position_long,distance,speed,idx,Sat,hdop,cog
1003662461,603434752,-29420282,3320,8.281,475,14,0.9,294
1003662462,603435144,-29421380,3328,7.819,476,14,0.9,297
1003662463,603435478,-29422346,3334.5,7.303,477,14,0.9,298
1003662464,603435744,-29423140,3341,6.325,478,14,0.9,295
1003662465,603435880,-29423579,3344.5,4.989,479,14,0.9,286
1003662466,603435992,-29423980,3348,3.6,480,14,0.9,273
1003662467,603436026,-29424151,3349.5,2.311,481,14,0.9,147
1003662479,603436047,-29424239,3351,0,493,14,0.9,147
1003662480,603436054,-29424307,3351,0,494,14,0.9,147
1003662481,603436034,-29424343,3351,0,495,14,0.9,147
1003662482,603435996,-29424355,3351,0,496,14,0.9,152
1003662483,603435965,-29424351,3351,0.461,497,14,0.9,152
1003662484,603435915,-29424327,3351,0.461,498,14,0.9,152
1003662485,603435843,-29424262,3351,0.461,499,14,0.9,152
1003662486,603435722,-29424151,3351,0.461,500,14,0.9,149
1003662487,603435472,-29423913,3355.5,2.211,501,14,0.9,146
1003662488,603435027,-29423502,3360,3.292,502,14,0.9,156
1003662489,603434644,-29423185,3364.5,3.908,503,14,0.9,150
1003662490,603434233,-29422851,3369,4.114,504,14,0.9,151
1003662491,603433789,-29422472,3374,4.625,505,14,0.9,153
1003662492,603433277,-29422045,3379,4.731,506,14,0.9,149
1003662493,603432735,-29421564,3385,5.967,507,14,0.9,150
1003662494,603431954,-29420869,3391,6.017,508,14,0.9,148
1003662495,603431277,-29420278,3398,6.222,509,14,0.9,159
1003662496,603430570,-29419796,3405,7.303,510,14,0.9,165
1003662497,603429820,-29419424,3412.5,7.303,511,14,0.9,164
1003662498,603429060,-29419005,3420,7.303,512,14,0.9,153
1003662499,603428288,-29418449,3428,7.356,513,14,0.9,149
1003662500,603427493,-29417781,3436,8.075,514,14,0.9,150
1003662501,603426653,-29417039,3445,8.128,515,14,0.9,148
1003662502,603425778,-29416206,3454,8.589,516,14,0.9,151
1003662503,603424846,-29415416,3464,9.311,517,14,0.9,155
1003662504,603423863,-29414649,3474,9.619,518,14,0.9,153
1003662505,603422875,-29413871,3484,9.978,519,14,0.9,151
1003662506,603421892,-29413052,3494,9.978,520,14,0.9,149
1003662507,603420894,-29412218,3505,10.339,521,14,0.9,154
1003662508,603419874,-29411401,3516,10.339,522,14,0.9,152
1003662509,603418865,-29410598,3526.5,10.339,523,14,0.9,154
1003662510,603417854,-29409759,3537,9.978,524,14,0.9,151
1003662511,603416790,-29408898,3548,10.233,525,14,0.9,154
1003662512,603415683,-29408076,3559,10.906,526,14,0.9,160
1003662513,603414555,-29407363,3570.5,11.317,527,14,0.9,162
1003662514,603413431,-29406688,3582,11.317,528,14,0.9,156
1003662515,603412291,-29405998,3593.5,11.214,529,14,0.9,155
1003662516,603411122,-29405274,3605,10.906,530,14,0.9,158
1003662517,603409957,-29404549,3616.5,11.108,531,14,0.9,157
1003662518,603408867,-29403808,3628,11.108,532,14,0.9,151
1003662519,603407829,-29403028,3638.5,11.008,533,14,0.9,154
1003662520,603406751,-29402221,3649,11.214,534,14,0.9,153
1003662521,603405629,-29401397,3661,11.264,535,14,0.9,157
1003662522,603404453,-29400664,3673,11.317,536,14,0.9,164
1003662523,603403280,-29400045,3684.5,11.625,537,14,0.9,161
1003662524,603402137,-29399446,3696,11.264,538,14,0.9,159
1003662525,603401024,-29398792,3707,11.264,539,14,0.9,154
1003662526,603399946,-29398019,3718,11.264,540,14,0.9,151
1003662527,603398855,-29397154,3729.5,11.264,541,14,0.9,153
1003662528,603397722,-29396269,3741,11.264,542,14,0.9,155
1003662529,603396572,-29395395,3753,11.317,543,14,0.9,153
1003662530,603395416,-29394500,3765,11.625,544,14,0.9,154
1003662531,603394261,-29393633,3776.5,11.678,545,14,0.9,155
1003662532,603393096,-29392795,3788,11.728,546,14,0.9,155
1003662533,603391926,-29391963,3800,11.728,547,14,0.9,158
1003662534,603390763,-29391202,3812,11.728,548,14,0.9,160
1003662535,603389616,-29390526,3823.5,11.728,549,14,0.9,161
1003662536,603388469,-29389905,3835,11.728,550,14,0.9,161
1003662537,603387308,-29389276,3846.5,11.728,551,14,0.9,160
1003662538,603386140,-29388632,3858,11.728,552,14,0.9,156
1003662539,603384987,-29387920,3869.5,11.728,553,14,0.9,156
1003662540,603383847,-29387135,3881,11.678,554,14,0.9,154
1003662541,603382723,-29386292,3893,11.678,555,14,0.9,153
1003662542,603381575,-29385392,3905,11.678,556,14,0.9,154
